pkt_id,src,rsu,gen_time,enq_time,start_tx,end_tx,rx_time,success,reason,size_bits
pkt_79,test_vehicle_2,rsu_13,19.3,19.3,19.3,19.30040968285304,19.30040968285304,True,ok,8192
pkt_81,flow_ew_full.0,rsu_0,20.1,20.1,20.1,20.10040961781697,20.10040961781697,True,ok,8192
pkt_80,emergency_1,rsu_1,20.1,20.1,20.1,20.100409890786537,20.100409890786537,True,ok,8192
pkt_84,test_vehicle_4,rsu_19,20.1,20.1,20.1,20.100409780150034,20.100409780150034,True,ok,8192
pkt_82,flow_ew_j2.0,rsu_0,20.1,20.1,20.2,20.20040981219519,20.20040981219519,True,ok,8192
pkt_83,test_vehicle_3,rsu_1,20.1,20.1,20.2,20.200409708795586,20.200409708795586,True,ok,8192
pkt_85,test_vehicle_1,rsu_1,20.3,20.3,20.3,20.300409706606438,20.300409706606438,True,ok,8192
pkt_86,test_vehicle_2,rsu_13,20.3,20.3,20.3,20.30040963984901,20.30040963984901,True,ok,8192
pkt_88,flow_ew_full.0,rsu_0,21.1,21.1,21.1,21.100409665401916,21.100409665401916,True,ok,8192
pkt_87,emergency_1,rsu_1,21.1,21.1,21.1,21.10040984320419,21.10040984320419,True,ok,8192
pkt_91,test_vehicle_4,rsu_19,21.1,21.1,21.1,21.10040973028881,21.10040973028881,True,ok,8192
pkt_89,flow_ew_j2.0,rsu_0,21.1,21.1,21.2,21.200409850438415,21.200409850438415,True,ok,8192
pkt_90,test_vehicle_3,rsu_1,21.1,21.1,21.2,21.200409662292447,21.200409662292447,True,ok,8192
pkt_92,test_vehicle_1,rsu_1,21.3,21.3,21.3,21.300409755382248,21.300409755382248,True,ok,8192
pkt_93,test_vehicle_2,rsu_13,21.3,21.3,21.3,21.300409606528945,21.300409606528945,True,ok,8192
pkt_95,flow_ew_full.0,rsu_0,22.1,22.1,22.1,22.100409713515614,22.100409713515614,True,ok,8192
pkt_94,emergency_1,rsu_1,22.1,22.1,22.1,22.10040979560095,22.10040979560095,True,ok,8192
pkt_98,test_vehicle_4,rsu_19,22.1,22.1,22.1,22.100409680452803,22.100409680452803,True,ok,8192
pkt_96,flow_ew_j2.0,rsu_0,22.1,22.1,22.2,22.200409888737724,22.200409888737724,True,ok,8192
pkt_97,test_vehicle_3,rsu_1,22.1,22.1,22.2,22.200409616360734,22.200409616360734,True,ok,8192
pkt_99,test_vehicle_1,rsu_1,22.3,22.3,22.3,22.300409804269215,22.300409804269215,True,ok,8192
