timestamp,bs_id,vehicle_id,packet_type,size_bytes
224.0,J2,emergency_6,emergency_encrypted,656
224.0,J3,emergency_flow.0,emergency_encrypted,664
225.0,J3,emergency_4,emergency_encrypted,660
225.0,J2,emergency_6,emergency_encrypted,656
225.0,J3,emergency_flow.0,emergency_encrypted,664
226.0,J3,emergency_4,emergency_encrypted,656
226.0,J2,emergency_6,emergency_encrypted,660
226.0,J3,emergency_flow.0,emergency_encrypted,664
227.0,J3,emergency_4,emergency_encrypted,660
227.0,J2,emergency_6,emergency_encrypted,656
227.0,J2,emergency_7,emergency_encrypted,656
227.0,J3,emergency_flow.0,emergency_encrypted,664
228.0,J3,emergency_4,emergency_encrypted,660
228.0,J2,emergency_6,emergency_encrypted,656
228.0,J2,emergency_7,emergency_encrypted,656
228.0,J3,emergency_flow.0,emergency_encrypted,664
229.0,J3,emergency_4,emergency_encrypted,660
229.0,J2,emergency_6,emergency_encrypted,656
229.0,J2,emergency_7,emergency_encrypted,660
229.0,J3,emergency_flow.0,emergency_encrypted,664
230.0,J3,emergency_4,emergency_encrypted,656
230.0,J2,emergency_6,emergency_encrypted,656
230.0,J2,emergency_7,emergency_encrypted,656
230.0,J3,emergency_flow.0,emergency_encrypted,664
231.0,J3,emergency_4,emergency_encrypted,656
231.0,J2,emergency_6,emergency_encrypted,656
231.0,J2,emergency_7,emergency_encrypted,656
231.0,J3,emergency_flow.0,emergency_encrypted,664
232.0,J3,emergency_4,emergency_encrypted,656
232.0,J2,emergency_6,emergency_encrypted,656
232.0,J2,emergency_7,emergency_encrypted,656
232.0,J3,emergency_flow.0,emergency_encrypted,664
233.0,J3,emergency_4,emergency_encrypted,660
233.0,J2,emergency_6,emergency_encrypted,656
233.0,J2,emergency_7,emergency_encrypted,656
233.0,J3,emergency_flow.0,emergency_encrypted,664
234.0,J2,emergency_6,emergency_encrypted,656
234.0,J2,emergency_7,emergency_encrypted,656
234.0,J3,emergency_flow.0,emergency_encrypted,664
235.0,J2,emergency_6,emergency_encrypted,656
235.0,J2,emergency_7,emergency_encrypted,656
235.0,J3,emergency_flow.0,emergency_encrypted,664
236.0,J2,emergency_6,emergency_encrypted,656
236.0,J2,emergency_7,emergency_encrypted,656
236.0,J3,emergency_flow.0,emergency_encrypted,664
237.0,J2,emergency_6,emergency_encrypted,656
237.0,J2,emergency_7,emergency_encrypted,656
237.0,J3,emergency_flow.0,emergency_encrypted,664
238.0,J2,emergency_6,emergency_encrypted,656
238.0,J2,emergency_7,emergency_encrypted,656
239.0,J2,emergency_7,emergency_encrypted,656
240.0,J2,emergency_7,emergency_encrypted,656
241.0,J2,emergency_7,emergency_encrypted,656
242.0,J2,emergency_7,emergency_encrypted,656
243.0,J2,emergency_7,emergency_encrypted,656
244.0,J2,emergency_7,emergency_encrypted,656
245.0,J2,emergency_7,emergency_encrypted,656
246.0,J2,emergency_7,emergency_encrypted,656
249.0,J2,emergency_flow_ns.0,emergency_encrypted,668
250.0,J2,emergency_flow_ns.0,emergency_encrypted,668
251.0,J2,emergency_flow_ns.0,emergency_encrypted,668
252.0,J2,emergency_flow_ns.0,emergency_encrypted,668
253.0,J2,emergency_flow_ns.0,emergency_encrypted,668
254.0,J2,emergency_flow_ns.0,emergency_encrypted,668
255.0,J2,emergency_flow_ns.0,emergency_encrypted,668
256.0,J3,emergency_6,emergency_encrypted,656
256.0,J2,emergency_flow_ns.0,emergency_encrypted,668
257.0,J3,emergency_6,emergency_encrypted,656
257.0,J2,emergency_flow_ns.0,emergency_encrypted,668
258.0,J3,emergency_6,emergency_encrypted,656
258.0,J2,emergency_flow_ns.0,emergency_encrypted,668
259.0,J3,emergency_6,emergency_encrypted,656
259.0,J2,emergency_flow_ns.0,emergency_encrypted,668
260.0,J3,emergency_6,emergency_encrypted,656
260.0,J2,emergency_flow_ns.0,emergency_encrypted,668
261.0,J3,emergency_6,emergency_encrypted,656
261.0,J2,emergency_flow_ns.0,emergency_encrypted,668
262.0,J3,emergency_6,emergency_encrypted,656
262.0,J2,emergency_flow_ns.0,emergency_encrypted,668
263.0,J3,emergency_6,emergency_encrypted,656
263.0,J2,emergency_flow_ns.0,emergency_encrypted,668
264.0,J3,emergency_6,emergency_encrypted,656
264.0,J2,emergency_flow_ns.0,emergency_encrypted,668
265.0,J3,emergency_6,emergency_encrypted,656
265.0,J2,emergency_flow_ns.0,emergency_encrypted,668
266.0,J3,emergency_6,emergency_encrypted,656
266.0,J2,emergency_flow_ns.0,emergency_encrypted,664
267.0,J3,emergency_6,emergency_encrypted,656
267.0,J2,emergency_flow_ns.0,emergency_encrypted,668
268.0,J3,emergency_6,emergency_encrypted,656
268.0,J2,emergency_flow_ns.0,emergency_encrypted,668
269.0,J3,emergency_6,emergency_encrypted,660
269.0,J2,emergency_flow_ns.0,emergency_encrypted,668
270.0,J3,emergency_6,emergency_encrypted,660
270.0,J2,emergency_flow_ns.0,emergency_encrypted,668
271.0,J3,emergency_6,emergency_encrypted,656
271.0,J2,emergency_flow_ns.0,emergency_encrypted,668
272.0,J3,emergency_6,emergency_encrypted,660
272.0,J2,emergency_flow_ns.0,emergency_encrypted,668
273.0,J3,emergency_6,emergency_encrypted,656
274.0,J3,emergency_6,emergency_encrypted,656
275.0,J3,emergency_6,emergency_encrypted,660
276.0,J3,emergency_6,emergency_encrypted,660
277.0,J3,emergency_6,emergency_encrypted,660
278.0,J3,emergency_6,emergency_encrypted,656
279.0,J3,emergency_6,emergency_encrypted,656
279.0,J3,emergency_8,emergency_encrypted,660
280.0,J3,emergency_6,emergency_encrypted,656
280.0,J3,emergency_8,emergency_encrypted,660
281.0,J3,emergency_6,emergency_encrypted,660
281.0,J3,emergency_8,emergency_encrypted,660
282.0,J3,emergency_8,emergency_encrypted,656
283.0,J3,emergency_8,emergency_encrypted,660
284.0,J3,emergency_8,emergency_encrypted,660
285.0,J3,emergency_8,emergency_encrypted,660
286.0,J3,emergency_8,emergency_encrypted,660
287.0,J3,emergency_8,emergency_encrypted,660
288.0,J3,emergency_8,emergency_encrypted,660
289.0,J3,emergency_8,emergency_encrypted,656
290.0,J3,emergency_8,emergency_encrypted,660
291.0,J3,emergency_8,emergency_encrypted,660
292.0,J3,emergency_8,emergency_encrypted,656
293.0,J3,emergency_8,emergency_encrypted,656
294.0,J3,emergency_8,emergency_encrypted,660
295.0,J3,emergency_8,emergency_encrypted,660
296.0,J3,emergency_8,emergency_encrypted,660
297.0,J3,emergency_8,emergency_encrypted,660
298.0,J3,emergency_8,emergency_encrypted,660
299.0,J3,emergency_8,emergency_encrypted,656
332.0,J2,emergency_9,emergency_encrypted,656
333.0,J2,emergency_9,emergency_encrypted,656
334.0,J2,emergency_9,emergency_encrypted,660
335.0,J2,emergency_9,emergency_encrypted,656
336.0,J2,emergency_9,emergency_encrypted,660
337.0,J2,emergency_9,emergency_encrypted,660
338.0,J2,emergency_9,emergency_encrypted,656
339.0,J2,emergency_9,emergency_encrypted,656
340.0,J2,emergency_9,emergency_encrypted,656
341.0,J2,emergency_9,emergency_encrypted,656
342.0,J2,emergency_9,emergency_encrypted,660
343.0,J2,emergency_9,emergency_encrypted,656
344.0,J2,emergency_9,emergency_encrypted,656
345.0,J2,emergency_9,emergency_encrypted,656
346.0,J2,emergency_9,emergency_encrypted,656
347.0,J2,emergency_9,emergency_encrypted,656
348.0,J2,emergency_9,emergency_encrypted,656
349.0,J2,emergency_9,emergency_encrypted,656
350.0,J2,emergency_9,emergency_encrypted,656
351.0,J2,emergency_9,emergency_encrypted,656
352.0,J2,emergency_9,emergency_encrypted,656
353.0,J2,emergency_9,emergency_encrypted,656
354.0,J2,emergency_9,emergency_encrypted,656
355.0,J2,emergency_9,emergency_encrypted,656
356.0,J2,emergency_9,emergency_encrypted,656
357.0,J2,emergency_flow.1,emergency_encrypted,664
358.0,J2,emergency_flow.1,emergency_encrypted,664
359.0,J2,emergency_flow.1,emergency_encrypted,664
360.0,J2,emergency_flow.1,emergency_encrypted,664
361.0,J2,emergency_flow.1,emergency_encrypted,664
362.0,J2,emergency_flow.1,emergency_encrypted,664
363.0,J2,emergency_flow.1,emergency_encrypted,664
364.0,J2,emergency_flow.1,emergency_encrypted,664
365.0,J2,emergency_flow.1,emergency_encrypted,664
366.0,J2,emergency_flow.1,emergency_encrypted,664
367.0,J2,emergency_flow.1,emergency_encrypted,664
368.0,J2,emergency_flow.1,emergency_encrypted,664
369.0,J2,emergency_flow.1,emergency_encrypted,664
370.0,J2,emergency_flow.1,emergency_encrypted,664
371.0,J2,emergency_flow.1,emergency_encrypted,664
372.0,J2,emergency_flow.1,emergency_encrypted,664
373.0,J3,emergency_9,emergency_encrypted,656
373.0,J2,emergency_flow.1,emergency_encrypted,664
374.0,J3,emergency_9,emergency_encrypted,656
374.0,J2,emergency_flow.1,emergency_encrypted,664
375.0,J3,emergency_9,emergency_encrypted,656
375.0,J2,emergency_flow.1,emergency_encrypted,664
376.0,J3,emergency_9,emergency_encrypted,656
376.0,J2,emergency_flow.1,emergency_encrypted,664
377.0,J3,emergency_9,emergency_encrypted,656
377.0,J2,emergency_flow.1,emergency_encrypted,664
378.0,J3,emergency_9,emergency_encrypted,656
378.0,J2,emergency_flow.1,emergency_encrypted,664
379.0,J3,emergency_9,emergency_encrypted,656
380.0,J3,emergency_9,emergency_encrypted,656
381.0,J3,emergency_9,emergency_encrypted,656
382.0,J3,emergency_9,emergency_encrypted,656
383.0,J3,emergency_9,emergency_encrypted,656
384.0,J2,emergency_10,emergency_encrypted,656
384.0,J3,emergency_9,emergency_encrypted,656
385.0,J2,emergency_10,emergency_encrypted,660
385.0,J3,emergency_9,emergency_encrypted,656
386.0,J2,emergency_10,emergency_encrypted,660
386.0,J3,emergency_9,emergency_encrypted,660
387.0,J2,emergency_10,emergency_encrypted,660
387.0,J3,emergency_9,emergency_encrypted,656
388.0,J2,emergency_10,emergency_encrypted,660
388.0,J3,emergency_9,emergency_encrypted,660
389.0,J2,emergency_10,emergency_encrypted,660
389.0,J3,emergency_9,emergency_encrypted,660
390.0,J2,emergency_10,emergency_encrypted,660
390.0,J3,emergency_9,emergency_encrypted,660
391.0,J2,emergency_10,emergency_encrypted,660
391.0,J3,emergency_9,emergency_encrypted,656
392.0,J2,emergency_10,emergency_encrypted,660
392.0,J3,emergency_9,emergency_encrypted,660
393.0,J2,emergency_10,emergency_encrypted,660
393.0,J3,emergency_9,emergency_encrypted,656
393.0,J3,emergency_flow.1,emergency_encrypted,664
394.0,J2,emergency_10,emergency_encrypted,660
394.0,J3,emergency_9,emergency_encrypted,660
